nm,Abs
200,3.084
201,3.082
202,3.079
203,3.055
204,3.041
205,3.019
206,2.975
207,2.924
208,2.865
209,2.789
210,2.698
211,2.602
212,2.468
213,2.348
214,2.2
215,2.049
216,1.894
217,1.728
218,1.577
219,1.431
220,1.275
221,1.143
222,1.024
223,0.907
224,0.793
225,0.701
226,0.623
227,0.545
228,0.477
229,0.42
230,0.368
231,0.33
232,0.29
233,0.262
234,0.236
235,0.212
236,0.193
237,0.177
238,0.163
239,0.151
240,0.141
241,0.133
242,0.126
243,0.12
244,0.116
245,0.112
246,0.109
247,0.106
248,0.104
249,0.102
250,0.1
251,0.099
252,0.098
253,0.097
254,0.096
255,0.095
256,0.094
257,0.094
258,0.093
259,0.092
260,0.092
261,0.091
262,0.091
263,0.09
264,0.089
265,0.089
266,0.088
267,0.087
268,0.087
269,0.086
270,0.085
271,0.085
272,0.084
273,0.083
274,0.082
275,0.081
276,0.081
277,0.08
278,0.079
279,0.078
280,0.077
281,0.076
282,0.075
283,0.075
284,0.073
285,0.073
286,0.072
287,0.072
288,0.07
289,0.07
290,0.069
291,0.068
292,0.067
293,0.067
294,0.066
295,0.065
296,0.064
297,0.063
298,0.063
299,0.062
300,0.061
301,0.061
302,0.06
303,0.059
304,0.058
305,0.058
306,0.057
307,0.056
308,0.056
309,0.055
310,0.055
311,0.054
312,0.053
313,0.052
314,0.052
315,0.051
316,0.051
317,0.05
318,0.049
319,0.049
320,0.048
321,0.047
322,0.047
323,0.046
324,0.045
325,0.045
326,0.044
327,0.044
328,0.044
329,0.043
330,0.043
331,0.042
332,0.043
333,0.043
334,0.042
335,0.042
336,0.041
337,0.041
338,0.04
339,0.04
340,0.04
341,0.039
342,0.039
343,0.038
344,0.037
345,0.037
346,0.037
347,0.036
348,0.036
349,0.036
350,0.035
351,0.035
352,0.035
353,0.034
354,0.034
355,0.034
356,0.033
357,0.033
358,0.032
359,0.032
360,0.032
361,0.032
362,0.031
363,0.031
364,0.031
365,0.031
366,0.03
367,0.03
368,0.029
369,0.029
370,0.029
371,0.029
372,0.028
373,0.027
374,0.027
375,0.03
376,0.028
377,0.028
378,0.028
379,0.027
380,0.027
381,0.027
382,0.027
383,0.027
384,0.027
385,0.026
386,0.026
387,0.026
388,0.026
389,0.026
390,0.026
391,0.025
392,0.025
393,0.025
394,0.025
395,0.024
396,0.025
397,0.024
398,0.024
399,0.024
400,0.024
401,0.024
402,0.023
403,0.024
404,0.024
405,0.023
406,0.023
407,0.023
408,0.023
409,0.023
410,0.022
411,0.022
412,0.022
413,0.022
414,0.022
415,0.022
416,0.022
417,0.021
418,0.022
419,0.022
420,0.021
421,0.021
422,0.021
423,0.021
424,0.021
425,0.021
426,0.021
427,0.02
428,0.02
429,0.02
430,0.02
431,0.02
432,0.02
433,0.02
434,0.019
435,0.02
436,0.019
437,0.019
438,0.019
439,0.019
440,0.019
441,0.019
442,0.019
443,0.019
444,0.019
445,0.018
446,0.019
447,0.018
448,0.018
449,0.018
450,0.018
451,0.018
452,0.018
453,0.018
454,0.018
455,0.018
456,0.018
457,0.018
458,0.017
459,0.017
460,0.017
461,0.017
462,0.017
463,0.017
464,0.017
465,0.017
466,0.017
467,0.017
468,0.017
469,0.017
470,0.017
471,0.016
472,0.017
473,0.017
474,0.017
475,0.017
476,0.017
477,0.017
478,0.017
479,0.017
480,0.017
481,0.017
482,0.017
483,0.017
484,0.017
485,0.017
486,0.017
487,0.017
488,0.017
489,0.017
490,0.017
491,0.017
492,0.017
493,0.017
494,0.016
495,0.017
496,0.016
497,0.017
498,0.016
499,0.016
500,0.016
501,0.016
502,0.016
503,0.016
504,0.016
505,0.016
506,0.016
507,0.016
508,0.016
509,0.016
510,0.016
511,0.016
512,0.016
513,0.016
514,0.016
515,0.016
516,0.016
517,0.016
518,0.016
519,0.016
520,0.016
521,0.016
522,0.016
523,0.016
524,0.016
525,0.015
526,0.015
527,0.015
528,0.015
529,0.015
530,0.015
531,0.015
532,0.015
533,0.015
534,0.015
535,0.015
536,0.015
537,0.015
538,0.015
539,0.015
540,0.015
541,0.015
542,0.015
543,0.015
544,0.015
545,0.015
546,0.015
547,0.015
548,0.015
549,0.015
550,0.015
551,0.015
552,0.015
553,0.015
554,0.015
555,0.015
556,0.015
557,0.015
558,0.015
559,0.015
560,0.015
561,0.015
562,0.015
563,0.015
564,0.015
565,0.015
566,0.015
567,0.014
568,0.014
569,0.014
570,0.014
571,0.014
572,0.014
573,0.014
574,0.014
575,0.014
576,0.014
577,0.014
578,0.014
579,0.014
580,0.014
581,0.014
582,0.014
583,0.014
584,0.014
585,0.014
586,0.014
587,0.014
588,0.014
589,0.014
590,0.014
591,0.014
592,0.014
593,0.014
594,0.014
595,0.014
596,0.014
597,0.014
598,0.014
599,0.014
600,0.014
601,0.014
602,0.014
603,0.014
604,0.014
605,0.014
606,0.014
607,0.014
608,0.014
609,0.014
610,0.014
611,0.014
612,0.014
613,0.014
614,0.014
615,0.014
616,0.014
617,0.014
618,0.014
619,0.014
620,0.014
621,0.014
622,0.014
623,0.014
624,0.014
625,0.014
626,0.014
627,0.014
628,0.014
629,0.014
630,0.014
631,0.013
632,0.014
633,0.014
634,0.013
635,0.014
636,0.014
637,0.013
638,0.014
639,0.013
640,0.014
641,0.013
642,0.013
643,0.013
644,0.013
645,0.013
646,0.013
647,0.013
648,0.013
649,0.013
650,0.013
651,0.013
652,0.013
653,0.013
654,0.013
655,0.013
656,0.013
657,0.013
658,0.013
659,0.013
660,0.012
661,0.013
662,0.013
663,0.013
664,0.013
665,0.013
666,0.013
667,0.013
668,0.013
669,0.013
670,0.013
671,0.013
672,0.013
673,0.013
674,0.013
675,0.013
676,0.013
677,0.013
678,0.013
679,0.013
680,0.013
681,0.013
682,0.013
683,0.013
684,0.014
685,0.013
686,0.013
687,0.013
688,0.013
689,0.014
690,0.014
691,0.009
692,0.008
693,0.009
694,0.008
695,0.008
696,0.008
697,0.008
698,0.008
699,0.008
700,0.008
701,0.008
702,0.008
703,0.008
704,0.008
705,0.008
706,0.008
707,0.008
708,0.008
709,0.008
710,0.008
711,0.008
712,0.008
713,0.008
714,0.008
715,0.008
716,0.008
717,0.008
718,0.008
719,0.008
720,0.008
721,0.008
722,0.008
723,0.008
724,0.008
725,0.008
726,0.008
727,0.008
728,0.008
729,0.008
730,0.008
731,0.008
732,0.008
733,0.008
734,0.008
735,0.008
736,0.008
737,0.007
738,0.008
739,0.008
740,0.008
741,0.008
742,0.007
743,0.008
744,0.007
745,0.008
746,0.008
747,0.007
748,0.007
749,0.008
750,0.007
751,0.007
752,0.007
753,0.007
754,0.008
755,0.007
756,0.008
757,0.007
758,0.007
759,0.007
760,0.008
761,0.007
762,0.008
763,0.007
764,0.008
765,0.007
766,0.007
767,0.007
768,0.007
769,0.007
770,0.007
771,0.007
772,0.007
773,0.007
774,0.007
775,0.008
776,0.007
777,0.008
778,0.007
779,0.008
780,0.008
781,0.007
782,0.007
783,0.007
784,0.007
785,0.007
786,0.007
787,0.007
788,0.007
789,0.007
790,0.007
791,0.007
792,0.007
793,0.007
794,0.007
795,0.007
796,0.007
797,0.007
798,0.007
799,0.007
800,0.007
