Wavelength (nm),Abs
200,0.255990416
201,0.262922823
202,0.268020034
203,0.270521402
204,0.277017653
205,0.278163195
206,0.278965086
207,0.279455602
208,0.279407531
209,0.278623164
210,0.27734229
211,0.275134981
212,0.27267614
213,0.269821227
214,0.266692609
215,0.263991296
216,0.260095239
217,0.257458806
218,0.254007191
219,0.250201613
220,0.246840149
221,0.243246049
222,0.239901409
223,0.236271754
224,0.232854858
225,0.229020745
226,0.225791141
227,0.222250059
228,0.219147414
229,0.216252372
230,0.212654248
231,0.20966731
232,0.206402481
233,0.202764764
234,0.200269401
235,0.196926847
236,0.193451315
237,0.190699875
238,0.187326714
239,0.184994906
240,0.182600811
241,0.179697782
242,0.177447483
243,0.175243422
244,0.172899887
245,0.170918211
246,0.169093326
247,0.16677855
248,0.165253878
249,0.162931949
250,0.161368966
251,0.159673914
252,0.158616588
253,0.157425478
254,0.155231178
255,0.154395521
256,0.153086901
257,0.152039781
258,0.150072202
259,0.149260163
260,0.147776499
261,0.146044716
262,0.14467299
263,0.143456176
264,0.142232925
265,0.140484899
266,0.138899744
267,0.137680605
268,0.135771781
269,0.134001508
270,0.132787034
271,0.130895868
272,0.129169896
273,0.127802834
274,0.126003742
275,0.124607489
276,0.12294022
277,0.121827886
278,0.119894631
279,0.118531719
280,0.117100291
281,0.115495883
282,0.113683969
283,0.112471893
284,0.110790171
285,0.109348126
286,0.108014017
287,0.106602944
288,0.10517706
289,0.10386008
290,0.102664456
291,0.101652257
292,0.099905387
293,0.098581016
294,0.097321369
295,0.096132055
296,0.095105529
297,0.092695162
298,0.092151187
299,0.090958469
300,0.089154087
301,0.087810211
302,0.087058693
303,0.086214311
304,0.084398307
305,0.083813094
306,0.082196623
307,0.081406817
308,0.080634549
309,0.079533719
310,0.077588588
311,0.076833151
312,0.075806499
313,0.074681848
314,0.073900416
315,0.072997056
316,0.071575701
317,0.07114166
318,0.06989444
319,0.06886059
320,0.068419367
321,0.067147516
322,0.06643299
323,0.065874219
324,0.064705707
325,0.063590102
326,0.063159712
327,0.062613085
328,0.061595868
329,0.059845932
330,0.059645582
331,0.058800727
332,0.057908468
333,0.057420317
334,0.057169877
335,0.055755254
336,0.054965165
337,0.054362029
338,0.053435624
339,0.052614909
340,0.052055679
341,0.050763946
342,0.050758127
343,0.049664766
344,0.049122564
345,0.047813971
346,0.047213033
347,0.046262026
348,0.045739412
349,0.044226032
350,0.043667473
351,0.042997498
352,0.04261481
353,0.041748863
354,0.038351443
355,0.041517492
356,0.039832227
357,0.039616365
358,0.038182754
359,0.037575059
360,0.037325338
361,0.036519077
362,0.035983164
363,0.035296936
364,0.034198187
365,0.03396333
366,0.03337431
367,0.032854766
368,0.032364763
369,0.031190034
370,0.031217404
371,0.030334556
372,0.029841177
373,0.02929751
374,0.028881907
375,0.02838343
376,0.027622165
377,0.027130643
378,0.026464332
379,0.026104702
380,0.025627358
381,0.025141954
382,0.024083616
383,0.024425805
384,0.023590887
385,0.02350576
386,0.023163423
387,0.022665054
388,0.022065958
389,0.021601601
390,0.021202317
391,0.021044778
392,0.020465195
393,0.019680047
394,0.019386048
395,0.019345367
396,0.01885782
397,0.018762425
398,0.018285736
399,0.018129116
400,0.0177819
401,0.016977655
402,0.017178563
403,0.01629496
404,0.016343957
405,0.016162189
406,0.015930142
407,0.015564851
408,0.015043258
409,0.014833826
410,0.014438652
411,0.014343581
412,0.014031246
413,0.013887404
414,0.013455121
415,0.01326583
416,0.013280455
417,0.012865307
418,0.01257511
419,0.012287504
420,0.01220616
421,0.012122676
422,0.011694352
